id,circ_mv,up_limit
000520.SZ,439244.2195,4.98
000521.SZ,700178.6768,9.3
000523.SZ,491780.1468,3.15
000524.SZ,593597.9794,10.03
000526.SZ,488097.4271,46.99
000529.SZ,309447.2167,6.14
000530.SZ,315009.6301,5.9
000531.SZ,541298.5654,6.55
000532.SZ,414664.5434,13.68
000533.SZ,474637.3632,8.47
000534.SZ,680370.5122,14.28
000536.SZ,1149442.3267,4.82
000539.SZ,1087959.9725,4.76
000541.SZ,648635.6399,6.41
000544.SZ,792418.4887,9.08
000545.SZ,202993.0378,2.33
000546.SZ,310538.3132,5.15
000547.SZ,1067371.6677,7.61
000548.SZ,241607.3845,5.49
000550.SZ,1112621.9414,24.19
000551.SZ,440265.2146,12.4
000552.SZ,950073.2327,2.86
000553.SZ,1251813.7901,6.64
000554.SZ,202723.1371,6.31
000555.SZ,952843.9913,11.18
000557.SZ,718752.6856,5.5
000558.SZ,399492.2285,3.66
000560.SZ,640497.3599,3.29
000561.SZ,522559.1634,8.68
000565.SZ,214628.1489,5.64
000566.SZ,507170.7339,4.98
000567.SZ,1175808.1253,6.83
000570.SZ,262842.5558,5.3
000571.SZ,271070.8245,3.87
000572.SZ,632265.6983,4.42
000573.SZ,350029.5449,5.53
000576.SZ,294151.9197,7.63
000581.SZ,1430117.0048,19.36
000582.SZ,1460084.0932,9.0
000586.SZ,169260.0,10.14
000589.SZ,706909.6668,5.19
000590.SZ,155355.1713,7.38
000592.SZ,545801.348,3.39
000593.SZ,179600.0677,5.68
000595.SZ,681699.613,6.83
000597.SZ,697805.3316,5.8
000599.SZ,338130.5616,4.75
000600.SZ,528674.6749,5.53
000601.SZ,409494.3597,4.22
000603.SZ,789347.344,13.55
000605.SZ,237171.4052,8.1
000607.SZ,295731.5145,3.87
000608.SZ,153420.4795,2.38
000610.SZ,274126.9982,13.51
000612.SZ,810165.6979,7.47
000619.SZ,228600.0,7.45
000620.SZ,817552.1795,2.08
000626.SZ,277116.7153,6.05
000628.SZ,943710.215,55.34
000631.SZ,661097.0272,3.11
000632.SZ,154074.4116,3.82
000633.SZ,160588.1691,4.77
000635.SZ,218526.161,8.27
000637.SZ,127332.9322,3.93
000638.SZ,133672.754,4.94
000639.SZ,359449.1151,3.84
000650.SZ,734924.9804,6.11
000652.SZ,548496.9285,4.22
000655.SZ,348869.3748,6.58
000657.SZ,1135051.3147,10.32
000659.SZ,329139.8451,2.94
000663.SZ,150393.8872,5.63
000665.SZ,418456.6014,4.27
000668.SZ,103964.0581,8.13
000670.SZ,483811.497,7.7
000672.SZ,679546.2105,7.85
000676.SZ,968059.3046,8.8
000677.SZ,323991.7305,4.32
000678.SZ,265655.6187,6.47
000679.SZ,182120.4,5.98
000680.SZ,1266140.5926,10.93
000681.SZ,1396264.2938,24.09
000682.SZ,1258818.3829,10.56
000685.SZ,1077153.4963,9.42
000688.SZ,1282947.2277,12.9
000690.SZ,889358.6165,4.59
000691.SZ,98597.35,3.52
000692.SZ,171039.3853,3.67
000695.SZ,209525.744,10.76
000697.SZ,468675.5944,9.79
000698.SZ,245927.378,3.58
000700.SZ,612316.2645,7.43
000701.SZ,288515.7602,4.99
000702.SZ,199709.2974,7.73
000705.SZ,207808.7585,8.36
000707.SZ,318868.1406,7.76
000710.SZ,249832.9955,9.04
000712.SZ,1105512.6891,14.28
000713.SZ,404635.8718,7.4
000715.SZ,245300.161,6.86
000716.SZ,472266.2301,8.0
000717.SZ,603457.4362,2.86
000718.SZ,504639.2725,2.48
000719.SZ,704507.8054,11.96
000720.SZ,368163.7503,3.33
000721.SZ,372314.1339,10.01
000722.SZ,408923.4464,10.01
000726.SZ,357854.5746,6.86
000727.SZ,1191276.1157,3.05
000731.SZ,388945.0752,7.77
000735.SZ,662916.9698,6.58
000736.SZ,574849.0379,9.11
000751.SZ,382074.4391,3.05
000753.SZ,396592.4284,4.64
000755.SZ,672028.0698,5.07
000756.SZ,690663.7416,18.29
000757.SZ,191244.5195,3.93
000758.SZ,925577.7652,5.25
000759.SZ,582266.9502,10.86
000761.SZ,1082802.6218,3.3
000762.SZ,1033789.2267,22.35
000766.SZ,1412303.2296,16.31
000767.SZ,681465.666,2.64
000778.SZ,1375385.9691,3.96
000779.SZ,342084.6304,8.44
000782.SZ,230268.8756,4.92
000788.SZ,348652.6436,6.72
000789.SZ,391517.6445,5.23
000790.SZ,224194.181,4.13
000791.SZ,904296.5035,6.28
000793.SZ,472603.0762,2.76
000795.SZ,1268592.5113,12.01
000796.SZ,481737.5852,4.09
000797.SZ,405117.5374,2.92
000798.SZ,247300.2093,7.61
000799.SZ,1494998.237,52.38
000801.SZ,1330671.4464,14.72
000802.SZ,484369.9776,8.27
000803.SZ,225711.9972,5.45
000810.SZ,1326581.2874,13.94
000811.SZ,915877.3833,13.09
000812.SZ,324163.9293,4.91
000813.SZ,642891.6915,3.44
000815.SZ,635470.414,10.53
000816.SZ,415152.5235,3.32
000818.SZ,1031630.5502,17.46
000819.SZ,529133.7308,17.13
000820.SZ,103396.9922,4.28
000821.SZ,705731.1358,13.22
000822.SZ,472608.5369,5.93
000823.SZ,512782.9888,10.99
000826.SZ,262218.0245,2.12
000828.SZ,1015606.7822,10.96
000829.SZ,1022081.4097,11.52
000833.SZ,478655.6374,12.32
000837.SZ,867374.2732,9.55
000838.SZ,263441.4638,2.85
000839.SZ,1074032.4204,3.12
000848.SZ,886709.4818,9.59
000850.SZ,359434.2109,4.32
000852.SZ,616355.9032,7.77
000856.SZ,149139.0,7.48
000859.SZ,421051.3899,5.36
000860.SZ,1217981.3959,18.69
000862.SZ,295144.5314,5.28
000863.SZ,400283.678,4.02
000868.SZ,373264.1648,5.85
000869.SZ,956608.2081,23.49
000875.SZ,1397773.1158,5.54
000877.SZ,900137.4796,5.7
000880.SZ,301621.32,20.09
000881.SZ,525578.7806,7.57
000882.SZ,599077.6243,2.67
000885.SZ,780125.0798,13.57
000886.SZ,562256.2164,6.63
000888.SZ,645995.4631,13.97
000890.SZ,122071.8944,3.37
000892.SZ,213961.7727,3.5
000897.SZ,355793.1595,2.51
000899.SZ,758101.6195,8.84
000900.SZ,623799.7028,4.59
000901.SZ,798193.381,11.3
000902.SZ,1399908.3788,13.59
000903.SZ,602962.1575,3.59
000905.SZ,520749.2841,8.32
000906.SZ,412086.1885,6.62
000910.SZ,391188.655,8.13
000911.SZ,277421.6339,7.71
000912.SZ,655424.0,4.76
000913.SZ,778354.5127,20.23
000915.SZ,604957.288,29.51
000917.SZ,904339.0736,7.33
000919.SZ,371926.4611,7.08
000920.SZ,342645.73,9.17
000922.SZ,601822.8593,11.36
000923.SZ,845775.547,14.88
000925.SZ,380916.4114,7.85
000926.SZ,363373.6609,2.65
000927.SZ,1488386.2429,2.73
000928.SZ,843560.7177,6.59
000929.SZ,118325.4401,7.33
000930.SZ,942965.4974,5.69
000931.SZ,324593.5122,4.99
000935.SZ,1060418.6225,15.85
000936.SZ,590886.8538,7.79
000948.SZ,586635.3938,17.23
000949.SZ,674849.8494,4.24
000950.SZ,867548.7174,5.59
000952.SZ,188505.213,6.64
000953.SZ,181962.7309,5.65
000955.SZ,204995.0783,4.41
000957.SZ,619584.6131,11.8
000962.SZ,698373.8061,16.17
000965.SZ,310752.6506,3.2
000966.SZ,1193208.2214,4.86
000967.SZ,1497250.3255,5.37
000968.SZ,583404.104,6.75
000969.SZ,1118340.3771,12.25
000970.SZ,1230314.4823,11.19
000972.SZ,211331.7006,2.93
000973.SZ,544659.2453,6.42
000978.SZ,205970.622,6.49
000980.SZ,1056577.3142,2.52
000981.SZ,1435534.1994,2.67
000985.SZ,221035.3475,19.34
000990.SZ,851880.8811,7.88
000993.SZ,355316.0382,9.04
000995.SZ,279949.824,18.72
000998.SZ,1304530.1416,11.1
001201.SZ,242519.7896,16.54
001202.SZ,124988.9783,16.89
001203.SZ,1070081.5714,9.04
001205.SZ,249709.1524,18.85
001206.SZ,184258.0813,19.68
001207.SZ,393830.7066,22.12
001208.SZ,227941.3985,9.74
001209.SZ,62486.4693,17.9
001210.SZ,104435.7233,15.02
001211.SZ,136472.0233,23.09
001212.SZ,202098.1575,22.91
001215.SZ,263112.5592,30.62
001216.SZ,298462.0395,13.41
001217.SZ,372705.1905,14.11
001218.SZ,114376.7501,17.05
001219.SZ,243151.9659,14.58
001222.SZ,120881.1013,17.9
001223.SZ,65252.16,44.25
001225.SZ,70942.7426,36.67
001226.SZ,54040.0965,30.43
001227.SZ,633899.8643,2.57
001228.SZ,106437.3415,22.09
001229.SZ,97568.8061,37.88
001230.SZ,85550.9435,17.83
001231.SZ,68221.198,20.3
001234.SZ,45576.5856,17.85
001236.SZ,283999.0207,9.87
001238.SZ,85666.7179,29.91
001255.SZ,59500.0,33.53
001256.SZ,61291.4914,16.94
001258.SZ,294348.8966,7.29
001259.SZ,43419.1982,22.72
001260.SZ,47974.25,16.89
001266.SZ,73400.1996,23.8
001267.SZ,609361.1416,8.69
001268.SZ,69210.9327,19.47
001269.SZ,194564.2716,27.07
001270.SZ,344732.6742,37.94
001278.SZ,79187.5631,16.75
001282.SZ,109821.544,21.66
001283.SZ,321099.2516,63.39
001286.SZ,924000.0,9.77
001287.SZ,796057.9864,20.64
001288.SZ,231878.373,34.3
001289.SZ,192003.8731,16.16
001296.SZ,133542.9059,19.43
001298.SZ,246749.9771,26.57
001299.SZ,60339.4217,13.39
001300.SZ,70126.0131,12.25
001301.SZ,1014166.1968,70.1
001308.SZ,200743.7909,27.27
001309.SZ,769445.4233,100.39
001311.SZ,150351.1086,27.28
001313.SZ,198245.6289,10.0
001314.SZ,231124.7151,53.92
001316.SZ,73296.3315,30.73
001317.SZ,111261.4134,29.7
001318.SZ,80604.76,11.96
001319.SZ,144613.724,26.39
001322.SZ,130171.6608,8.17
001323.SZ,281812.96,41.73
001324.SZ,129094.3416,18.01
001328.SZ,146132.6825,38.94
001330.SZ,612003.2893,6.49
001331.SZ,52214.4,11.77
001332.SZ,90450.0,37.25
001333.SZ,74008.0,18.5
001336.SZ,49746.7469,18.93
001337.SZ,636622.392,24.73
001338.SZ,222033.1666,10.89
001339.SZ,251867.3086,38.72
001360.SZ,102798.9005,14.08
001366.SZ,56014.08,11.66
001367.SZ,66825.1844,29.1
001368.SZ,60062.9251,21.88
001373.SZ,86142.5032,30.13
001380.SZ,126253.9608,23.68
001896.SZ,575219.5614,4.28
001914.SZ,1014748.0213,10.73
002003.SZ,1409369.3886,15.57
002004.SZ,799947.3267,4.74
002006.SZ,712780.56,17.68
002009.SZ,526289.2022,14.72
002010.SZ,1145271.2577,4.64
002011.SZ,954797.2916,11.79
002012.SZ,202477.3362,4.95
002014.SZ,601918.9707,11.32
002015.SZ,1155807.1252,8.11
002016.SZ,441766.2151,6.28
002017.SZ,554562.1032,10.82
002019.SZ,858303.5616,11.44
002020.SZ,867314.0653,13.31
002021.SZ,295316.2358,2.9
002022.SZ,288491.1443,6.44
002023.SZ,703817.2233,10.74
002026.SZ,396010.4903,10.27
002029.SZ,389262.486,6.69
002030.SZ,804174.5763,6.69
002031.SZ,1143757.1035,6.11
002033.SZ,448375.8277,9.25
002034.SZ,595802.7924,15.62
002035.SZ,545585.6064,8.01
002036.SZ,916289.0556,9.8
002037.SZ,335331.3112,7.9
002038.SZ,619051.8732,8.56
002039.SZ,614828.5852,15.91
002040.SZ,306834.9512,7.02
002041.SZ,976800.0,12.52
002042.SZ,773810.0165,4.55
002043.SZ,800954.3702,12.27
002045.SZ,941070.0774,19.94
002046.SZ,647871.8191,13.57
002047.SZ,342008.5857,2.97
002048.SZ,626652.3744,13.44
002051.SZ,904466.6999,8.17
002053.SZ,1001721.9253,12.21
002054.SZ,215155.169,6.29
002055.SZ,334707.9228,6.64
002057.SZ,523597.445,7.73
002058.SZ,146981.9611,11.86
002059.SZ,460604.1929,5.58
002060.SZ,528227.2991,3.78
002061.SZ,974676.7125,4.18
002062.SZ,518719.8024,5.72
002063.SZ,921620.3475,5.91
002066.SZ,224532.0,11.1
002067.SZ,386111.6558,3.8
002068.SZ,866178.8138,13.15
002069.SZ,242893.9383,3.89
002072.SZ,102839.3372,4.6
002073.SZ,775537.9889,8.8
002075.SZ,1193439.1245,6.09
002076.SZ,280011.0833,3.19
002077.SZ,812487.9182,15.93
002079.SZ,769540.8103,10.68
002081.SZ,856474.2733,3.64
002082.SZ,390980.8609,7.22
002083.SZ,441934.0141,5.26
002084.SZ,179752.265,3.3
002086.SZ,223627.5715,2.9
002088.SZ,596157.0739,13.39
002090.SZ,335426.8327,9.33
002091.SZ,1126369.4372,7.79
002093.SZ,720916.235,8.2
002094.SZ,350750.4029,5.86
002095.SZ,430421.3897,19.67
002096.SZ,527015.8146,12.08
002097.SZ,697228.8466,7.37
002098.SZ,264920.0,8.49
002099.SZ,771086.9284,5.35
002100.SZ,828707.6696,6.83
002101.SZ,692730.259,12.4
002102.SZ,561796.2409,2.73
002103.SZ,347663.3233,10.97
002104.SZ,363145.2177,6.99
002105.SZ,174217.6041,5.6
002106.SZ,706162.9725,11.37
002107.SZ,236960.5264,4.74
002108.SZ,548905.1141,3.76
002109.SZ,424997.8604,3.64
002110.SZ,721435.6394,3.34
002111.SZ,476766.9623,11.09
002112.SZ,312661.44,14.25
002114.SZ,183362.5966,6.42
002115.SZ,476891.9673,7.38
002116.SZ,420399.7628,10.43
002117.SZ,723029.0131,14.48
002119.SZ,631602.972,18.89
002121.SZ,562768.8064,4.58
002122.SZ,810996.0995,4.13
002125.SZ,613115.1885,10.95
002126.SZ,1491237.1548,21.67
002127.SZ,829796.946,5.02
002132.SZ,352669.5033,2.87
002133.SZ,177840.0164,2.68
002134.SZ,459984.9159,21.03
002135.SZ,408151.3202,4.42
002136.SZ,196780.3319,10.45
002137.SZ,295361.9222,8.98
002139.SZ,1364965.762,14.1
002140.SZ,479236.7969,9.99
002144.SZ,132852.0016,10.99
002146.SZ,592841.2454,1.75
002148.SZ,268326.5669,6.84
002149.SZ,901593.2391,18.87
002150.SZ,420933.6532,13.21
002151.SZ,1109925.0748,28.04
002153.SZ,1017449.7793,7.18
002154.SZ,474268.8779,4.55
002158.SZ,937538.9758,19.58
002159.SZ,207029.4374,17.05
002160.SZ,286464.4376,4.06
002161.SZ,364577.7043,5.84
002162.SZ,308923.0963,3.97
002163.SZ,641232.0023,9.15
002164.SZ,230292.1046,5.4
002165.SZ,288868.9099,4.49
002166.SZ,376563.301,8.2
002167.SZ,544003.6475,8.37
002169.SZ,426374.7695,6.45
002170.SZ,620668.8055,9.45
002171.SZ,1245959.4652,9.26
002172.SZ,227285.7781,3.43
002173.SZ,340862.9038,9.64
002174.SZ,771626.0115,9.7
002175.SZ,584762.138,4.97
002176.SZ,1177153.19,7.8
002177.SZ,302482.9715,4.95
002178.SZ,415681.3643,6.95
002181.SZ,617147.5848,6.44
002182.SZ,841009.4579,11.94
002183.SZ,1062170.5832,4.62
002184.SZ,447264.39,22.77
002186.SZ,315706.6781,11.89
002187.SZ,427650.7689,8.27
002188.SZ,97808.7682,4.68
002189.SZ,475308.0532,20.75
002190.SZ,672976.2475,22.22
002191.SZ,541750.0255,4.26
002192.SZ,773992.121,34.18
002193.SZ,182938.121,7.48
002194.SZ,529093.7603,11.84
002196.SZ,256594.9494,5.82
002198.SZ,357773.9273,7.49
002199.SZ,176008.8284,8.37
002201.SZ,309519.9225,5.46
002204.SZ,909675.2851,5.31
002205.SZ,144957.7178,9.02
002206.SZ,375631.6008,4.63
002207.SZ,121536.3067,5.27
002208.SZ,531170.693,7.39
002209.SZ,136216.3276,9.97
002210.SZ,556195.6434,2.4
002211.SZ,140554.6282,3.81
002212.SZ,664237.4749,6.5
002213.SZ,288804.7993,16.52
002214.SZ,539375.2825,12.67
002215.SZ,831327.9622,11.18
002216.SZ,694542.3644,12.4
002218.SZ,566706.0873,4.97
002219.SZ,827827.0612,2.92
002221.SZ,1338175.1136,10.38
002222.SZ,1475146.054,34.32
002224.SZ,332191.7865,4.63
002225.SZ,454049.2908,6.27
002226.SZ,1372120.6957,5.8
002227.SZ,243428.8745,11.47
002228.SZ,341257.25,3.14
002229.SZ,571084.2606,13.38
002231.SZ,154485.0339,6.06
002232.SZ,754180.4479,19.55
002233.SZ,856677.6906,7.99
002234.SZ,239619.868,9.06
002235.SZ,271253.368,5.68
002237.SZ,915921.3305,11.14
002238.SZ,579447.7135,8.37
002239.SZ,914569.1866,3.19
002240.SZ,1106712.1202,14.5
002242.SZ,729717.5321,10.82
002243.SZ,915148.1404,8.55
002245.SZ,1243826.8723,13.98
002246.SZ,506759.1149,10.44
002247.SZ,152519.1393,2.71
002248.SZ,228161.7352,8.49
002249.SZ,990871.0305,6.15
002250.SZ,461425.8854,5.82
002253.SZ,277164.553,15.29
002254.SZ,701868.7267,9.61
002255.SZ,365558.0952,6.58
002256.SZ,319787.7914,2.53
002258.SZ,631328.7726,8.87
002263.SZ,430141.0279,2.61
002264.SZ,371739.3854,6.66
002265.SZ,1254841.0388,31.13
002266.SZ,1429865.906,3.25
002267.SZ,858522.2435,8.69
002268.SZ,1214324.1446,16.21
002269.SZ,557775.0,2.67
002270.SZ,1288404.304,18.56
002272.SZ,308593.1319,9.42
002274.SZ,718392.4336,8.4
002275.SZ,741847.8263,15.03
002276.SZ,784970.0854,8.94
002277.SZ,678962.1536,5.95
002278.SZ,167771.6735,5.69
002279.SZ,451845.9522,6.49
002282.SZ,391571.8076,8.78
002283.SZ,527773.3166,5.79
002284.SZ,530130.2754,8.09
002285.SZ,468158.7416,2.75
002286.SZ,262779.2223,8.06
002287.SZ,1068393.937,22.48
002290.SZ,373099.9935,17.5
002291.SZ,520451.3132,7.02
002292.SZ,822434.3092,9.36
002293.SZ,646528.9155,9.16
002295.SZ,156684.044,7.07
002296.SZ,311284.2378,9.96
002297.SZ,354178.7781,7.07
002298.SZ,305915.4147,5.39
002300.SZ,357526.1542,5.63
002301.SZ,472437.5667,7.51
002302.SZ,752363.1652,6.78
002303.SZ,250075.4858,3.59
002305.SZ,312138.5897,2.12
002306.SZ,213043.5674,3.05
002307.SZ,376405.5974,3.99
002313.SZ,321231.9182,10.42
002314.SZ,294425.2386,2.52
002315.SZ,791435.8023,44.58
002317.SZ,884999.4258,13.46
002319.SZ,205200.0,11.65
002320.SZ,1290552.3153,6.45
002321.SZ,465202.4464,2.55
002322.SZ,415027.375,12.96
002323.SZ,335024.1273,1.83
002324.SZ,680157.9027,9.9
002326.SZ,656042.181,9.26
002327.SZ,419502.9802,9.63
002328.SZ,307220.271,6.09
002329.SZ,212217.8468,3.72
002330.SZ,259788.0944,4.71
002331.SZ,269970.6623,7.71
002332.SZ,935968.067,10.64
002333.SZ,328891.8024,5.69
002334.SZ,522126.2559,8.35
002335.SZ,1129541.1549,33.04
002337.SZ,278710.3562,5.35
002338.SZ,861098.472,39.99
002339.SZ,306427.9066,7.39
002342.SZ,310274.25,3.47
002343.SZ,265496.8745,6.48
002344.SZ,557430.79,4.68
002345.SZ,422267.6508,5.71
002346.SZ,502371.7413,12.77
002347.SZ,330566.5437,7.6
002348.SZ,284472.5917,3.34
002349.SZ,586210.2538,8.33
002350.SZ,293645.0105,6.68
002351.SZ,774768.7104,17.05
002354.SZ,943510.2825,6.29
002355.SZ,377081.6565,6.85
002356.SZ,428780.2284,3.7
002357.SZ,215986.1946,7.92
002358.SZ,412805.9817,5.16
002360.SZ,160849.0013,5.35
002361.SZ,436246.1033,6.64
002362.SZ,457329.4322,25.08
002363.SZ,262343.4034,6.75
002364.SZ,783578.6267,15.2
002365.SZ,187394.7372,8.66
002366.SZ,554100.796,5.15
002367.SZ,335715.8284,7.12
002368.SZ,1312378.0801,23.69
002369.SZ,356359.8812,7.59
002370.SZ,222218.7867,3.6
002373.SZ,1205394.8603,9.89
002374.SZ,272387.53,2.89
002375.SZ,468358.1754,4.03
002376.SZ,463816.6229,6.64
002377.SZ,264759.9966,3.2
002378.SZ,766052.4233,7.19
002379.SZ,1098873.4192,11.24
002380.SZ,241746.783,19.17
002381.SZ,202554.3137,7.11
002382.SZ,473856.2372,5.36
002383.SZ,459139.9873,8.64
002385.SZ,1301883.2498,4.39
002386.SZ,550501.4497,4.8
002387.SZ,1272064.1308,10.57
002390.SZ,683258.3581,4.32
002391.SZ,233916.8887,5.52
002392.SZ,365880.0842,4.97
002393.SZ,423881.061,19.48
002394.SZ,225006.7818,7.83
002395.SZ,420551.712,17.58
002396.SZ,1046988.099,20.88
002397.SZ,198694.0433,4.14
002398.SZ,234642.5512,4.62
002399.SZ,1242212.8972,11.09
002400.SZ,1377479.3652,9.05
002401.SZ,510887.2277,15.65
002402.SZ,1354334.3091,19.06
002403.SZ,466246.3213,17.85
002404.SZ,264813.1743,6.68
002406.SZ,358316.1608,6.71
002407.SZ,1203733.6202,12.6
002408.SZ,1284104.7717,5.24
002412.SZ,282278.115,6.39
002413.SZ,498960.6971,4.53
002418.SZ,386376.0,4.08
002419.SZ,541101.0916,5.37
002420.SZ,210421.8676,5.76
002421.SZ,639047.1191,3.61
002426.SZ,983351.3685,3.47
002427.SZ,318292.8196,3.69
002428.SZ,1178076.2675,20.22
002431.SZ,353499.1717,2.23
002434.SZ,757955.1269,6.38
002437.SZ,536704.5044,2.59
002438.SZ,563594.5617,14.03
002439.SZ,1009496.7034,15.82
002440.SZ,592421.0019,6.94
002441.SZ,303300.594,8.01
002442.SZ,248641.6487,6.02
002443.SZ,291917.7335,6.16
002445.SZ,542968.7242,2.57
002446.SZ,516239.1273,6.95
002448.SZ,296994.7614,6.51
002449.SZ,773083.3368,15.32
002451.SZ,261732.804,6.78
002452.SZ,377642.3063,8.15
002453.SZ,281614.8848,5.28
002454.SZ,391235.0383,6.88
002455.SZ,357353.4518,7.93
002457.SZ,357987.451,12.17
002458.SZ,646273.33,9.56
002462.SZ,348015.6803,13.53
002467.SZ,708955.8804,6.06
002468.SZ,1456236.5612,10.92
002469.SZ,433312.3143,7.8
002470.SZ,588149.1456,2.07
002471.SZ,330164.181,2.89
002474.SZ,295105.8654,6.4
002476.SZ,245392.331,4.51
002478.SZ,351879.4797,5.51
002479.SZ,383204.3427,5.01
002480.SZ,412264.537,6.17
002481.SZ,555721.8422,5.7
002482.SZ,744805.2204,2.28
002483.SZ,479805.9331,5.83
002486.SZ,183844.2384,2.56
002487.SZ,1211997.831,20.97
002488.SZ,982548.9201,12.05
002489.SZ,568169.5916,3.36
002491.SZ,488234.5815,4.92
002492.SZ,185390.9819,5.17
002495.SZ,154209.939,2.5
002496.SZ,199654.3285,1.94
002497.SZ,1230515.9608,12.58
002498.SZ,1041287.148,3.53
002501.SZ,536049.8499,1.76
002506.SZ,1456254.3641,2.83
002510.SZ,526539.7997,6.06
002511.SZ,809818.1933,7.14
002512.SZ,438254.1724,4.84
002513.SZ,109785.7883,4.8
002514.SZ,479793.6726,9.22
002515.SZ,472877.6572,4.73
002516.SZ,692219.9926,5.36
002518.SZ,1259260.9524,27.23
002519.SZ,637194.7498,6.45
002520.SZ,379682.1411,6.49
002521.SZ,361338.3145,10.2
002522.SZ,318901.5918,4.16
002523.SZ,478513.3763,3.47
002524.SZ,170280.307,3.86
002526.SZ,659067.888,4.11
002527.SZ,458799.5212,9.72
002529.SZ,174460.0,7.82
002530.SZ,633257.3573,11.13
002531.SZ,1377673.7816,8.38
002533.SZ,593444.3117,10.48
002534.SZ,875519.268,11.98
002535.SZ,270174.5316,4.08
002536.SZ,737193.5789,13.74
002537.SZ,610488.7074,5.93
002538.SZ,446409.664,5.9
002539.SZ,645575.3839,8.15
002540.SZ,487344.7622,6.28
002541.SZ,768077.0378,17.86
002542.SZ,558836.1275,4.04
002543.SZ,652348.449,11.15
002544.SZ,1237359.3657,20.71
002545.SZ,758339.8481,7.56
002546.SZ,319691.6063,4.57
002547.SZ,485010.3459,4.94
002548.SZ,303285.7525,4.24
002549.SZ,393260.2108,6.45
002550.SZ,527022.4387,6.47
002551.SZ,172118.1526,3.25
002552.SZ,488356.5389,17.41
002553.SZ,321274.8,14.32
002554.SZ,313365.6615,2.66
002556.SZ,478972.1444,5.83
002557.SZ,1391787.9227,31.02
002559.SZ,424934.1328,9.56
002560.SZ,278094.232,7.03
002561.SZ,334867.1701,9.33
002562.SZ,284820.6859,4.58
002563.SZ,1475239.4831,7.69
002565.SZ,295173.2622,3.18
002566.SZ,147418.7376,7.18
002567.SZ,688558.4134,5.39
002570.SZ,419038.1892,4.47
002571.SZ,158102.2796,5.3
002572.SZ,972635.1847,17.23
002573.SZ,522435.0712,4.17
002574.SZ,224400.0,4.86
002575.SZ,396134.4725,7.74
002576.SZ,215496.6694,15.27
002577.SZ,526411.765,21.85
002578.SZ,248875.9801,3.26
002579.SZ,433503.0168,8.54
002580.SZ,379964.592,10.26
002581.SZ,408005.4019,11.83
002582.SZ,262907.3912,9.34
002584.SZ,341235.6128,8.58
002585.SZ,431252.7488,5.47
002587.SZ,287494.4251,6.45
002588.SZ,708593.4008,7.81
002589.SZ,370075.3095,3.07
002590.SZ,538008.8477,13.28
002591.SZ,102595.6626,5.45
002593.SZ,278959.2354,5.71
002596.SZ,296557.8477,3.34
002597.SZ,1328971.0759,25.84
002598.SZ,255846.7886,10.16
002599.SZ,270355.0699,7.66
002605.SZ,820198.5999,27.82
002606.SZ,369762.7243,9.94
002609.SZ,337663.1094,8.46
002611.SZ,1078657.8388,11.8
002612.SZ,373716.5995,16.97
002613.SZ,223474.3388,4.19
002614.SZ,265931.3238,7.02
